index1	index2	height	clustersize
205	275	-13.7569723715941	2
64	489	-13.710459999366	11
469	483	-13.577042730776	4
121	468	-13.5281160549858	7
157	486	-13.4917488572154	18
28	467	-13.378854369833	6
472	493	-13.3548319157664	5
355	396	-13.3237738152627	2
185	494	-13.3230157477076	3
93	172	-13.3136009046235	2
6	78	-13.3132560730489	2
50	68	-13.0580405452988	2
243	299	-12.9800389757252	2
37	499	-12.9434227098164	12
82	490	-12.9430663237642	21
484	502	-12.7841741967552	21
470	496	-12.7591753987283	27
503	506	-12.6855478306977	9
250	384	-12.6670171689886	2
283	380	-12.5686410174026	2
497	514	-12.4030005242104	29
337	353	-12.2297371445588	2
116	178	-12.2239047397644	2
304	495	-12.1107776876876	3
500	511	-12.0981343524488	16
76	165	-12.0973669883948	2
509	515	-12.0448382617145	11
161	166	-11.8538050188452	2
117	120	-11.7579201116052	2
266	271	-11.691427621937	2
73	450	-11.5846363154448	3
501	524	-11.4886726428615	18
241	504	-11.4870128892348	6
488	525	-11.3664475955856	4
150	151	-11.3417837006578	2
212	517	-11.3326906869907	3
240	308	-11.2961373498749	2
59	512	-11.2117818495504	22
225	318	-11.1744527032092	2
218	277	-11.1696104636366	2
184	492	-11.140778468628	3
397	530	-11.0638351024386	7
162	316	-11.0299530388579	2
139	211	-11.0234394045349	2
473	507	-10.8820587057635	4
276	516	-10.8633566560214	3
505	518	-10.8373520033083	31
267	521	-10.750607123015	4
491	535	-10.7151581988673	25
513	532	-10.6850895605603	23
52	510	-10.6711020722373	3
539	544	-10.5257255974697	38
168	208	-10.5192334594253	2
351	379	-10.4730918741943	2
144	547	-10.1704497188101	24
508	529	-10.1370629999854	20
359	387	-10.0906120597731	2
363	383	-10.0472830864662	2
174	526	-10.0426815751429	3
371	533	-9.94955177099108	4
367	527	-9.80246742912527	3
345	534	-9.77718099518114	3
164	183	-9.72788405638626	2
60	123	-9.6730143155244	2
215	315	-9.47019450698681	2
523	553	-9.4189766492375	22
272	280	-9.41701871285176	2
306	550	-9.38301621334045	3
543	545	-9.36790717908662	7
301	307	-9.36043422730315	2
531	548	-9.34602373548814	7
152	552	-9.23880346612923	25
55	86	-9.21969424090774	2
339	522	-9.16427294428136	17
528	563	-9.14885500904377	25
248	349	-9.06489605368514	2
213	540	-9.03149837715026	3
549	559	-8.96125616616247	41
381	498	-8.86630845764492	3
209	557	-8.83495358710476	5
556	560	-8.73601388627071	5
54	572	-8.65319749343074	26
300	541	-8.63676346763082	3
319	537	-8.5930452853512	3
554	566	-8.59032319096055	9
49	214	-8.57752132201358	2
265	575	-8.54352088376689	42
305	374	-8.5212109860394	2
457	571	-8.50479582241791	19
274	375	-8.49050214581779	2
546	569	-8.44895957428951	50
119	565	-8.42841686844182	4
220	579	-8.42811540172364	27
122	313	-8.4047078575342	2
302	567	-8.36025300716636	3
551	576	-8.3093230938342	5
230	235	-8.28567921137821	2
519	584	-8.25246648606017	44
561	590	-8.2466871483937	29
169	520	-8.24551987880108	3
72	173	-8.18202710672958	2
364	577	-8.12910917127252	6
3	39	-8.1219469040125	2
279	303	-8.05120063644098	2
282	320	-8.02209612658027	2
311	570	-7.90568352542309	3
538	578	-7.89310932194202	8
395	595	-7.86891490495483	45
568	596	-7.79414865326242	36
284	386	-7.74090884818057	2
163	227	-7.67747052078	2
582	605	-7.62597193022642	54
536	580	-7.60261344251189	5
385	607	-7.39976899915659	3
71	258	-7.37025758691907	2
176	574	-7.36222591587229	4
260	593	-7.28881354700204	6
474	542	-7.19957316022849	6
338	399	-7.00836483343479	2
221	262	-6.94609792253625	2
555	609	-6.92622930025623	56
67	606	-6.81942910839675	37
588	618	-6.78478766407283	106
597	619	-6.74186589342563	40
237	329	-6.68553723648949	2
348	610	-6.67240449704525	6
599	614	-6.65512527519615	12
326	394	-6.63709119521194	2
228	589	-6.56887907322458	5
281	611	-6.3884803941646	4
16	586	-6.32113258129496	20
251	602	-6.26224575545349	3
352	357	-6.26035724999789	2
309	362	-6.24070357528226	2
259	261	-6.21628337229748	2
598	621	-6.19796540971209	42
573	627	-6.11109319312319	6
343	391	-6.09340225843445	2
314	613	-6.07568735690308	5
322	608	-5.88883216615384	3
603	633	-5.87195242268836	45
273	585	-5.81354675743579	3
179	591	-5.76360840108678	3
254	600	-5.76160881901454	3
592	624	-5.6910382674187	15
253	601	-5.68008505997804	3
564	634	-5.66484378841796	8
317	641	-5.64265251573842	4
247	626	-5.62648434092401	6
285	583	-5.53913698348718	3
216	217	-5.48456686057662	2
48	638	-5.40914655563394	46
370	581	-5.35564030824623	4
115	398	-5.346869498585	2
321	360	-5.32837615886594	2
210	252	-5.32708522460453	2
373	616	-5.32342912723065	3
354	366	-5.29449477314415	2
558	620	-5.25225520601987	109
562	649	-5.24333725337404	48
642	646	-5.17107242220386	21
219	657	-5.10540354611042	49
242	659	-5.00664335044668	50
223	325	-4.98810419301375	2
637	656	-4.95622312532775	112
623	662	-4.89799063930441	118
256	278	-4.86220736366217	2
206	644	-4.83202135297037	9
632	643	-4.75874172799451	5
377	594	-4.5433944647042	3
