bin	sign
4243	-1
4246	-1
4251	-1
4254	-1
4259	-1
4264	-1
4268	-1
4271	-1
4278	-1
4281	-1
4284	-1
4289	-1
4294	-1
4297	-1
4303	-1
4306	-1
4316	-1
4319	-1
4322	-1
4325	-1
4334	-1
4344	-1
4348	-1
4356	-1
4360	-1
4371	-1
4376	-1
4383	-1
4386	-1
4394	-1
4397	-1
4402	-1
4405	-1
4411	-1
4415	-1
4431	-1
4434	-1
4441	-1
4447	-1
4451	-1
4454	-1
4462	-1
4467	-1
4473	-1
4480	-1
4486	-1
4489	-1
4492	-1
4500	-1
4503	-1
4510	-1
4516	-1
4523	-1
4526	-1
4529	-1
4532	-1
4535	-1
4538	-1
4541	-1
4544	-1
4548	-1
4553	-1
4556	-1
4559	-1
4562	-1
4565	-1
4568	-1
4572	-1
4584	-1
4590	-1
4593	-1
4596	-1
4600	-1
4603	-1
4607	-1
4610	-1
4618	-1
4623	-1
4627	-1
4631	-1
4634	-1
4638	-1
4641	-1
4644	-1
4647	-1
4650	-1
4654	-1
4667	-1
4670	-1
4673	-1
4676	-1
4681	-1
4686	-1
4690	-1
4694	-1
4699	-1
4703	-1
4706	-1
4709	-1
4713	-1
4717	-1
4720	-1
4723	-1
4727	-1
4735	-1
4744	-1
4748	-1
4751	-1
4755	-1
4767	-1
4773	-1
4776	-1
4781	-1
4786	-1
4791	-1
4794	-1
4797	-1
4801	-1
4804	-1
4807	-1
4812	-1
4819	-1
4824	-1
4831	-1
4834	-1
4837	-1
4841	-1
4845	-1
4848	-1
4853	-1
4859	-1
4862	-1
4867	-1
4871	-1
4876	-1
4880	-1
4883	-1
4886	-1
4889	-1
4892	-1
4895	-1
4898	-1
4903	-1
4913	-1
4923	-1
4926	-1
4932	-1
4935	-1
4938	-1
4941	-1
4944	-1
4948	-1
4951	-1
4958	-1
4961	-1
4965	-1
4970	-1
4973	-1
4976	-1
4982	-1
4986	-1
4992	-1
5000	-1
5004	-1
5007	-1
5011	-1
5014	-1
5023	-1
5026	-1
5031	-1
5035	-1
5038	-1
5045	-1
5048	-1
5051	-1
5056	-1
5059	-1
5063	-1
5075	-1
5078	-1
5083	-1
5089	-1
5095	-1
5099	-1
5102	-1
5106	-1
5110	-1
5118	-1
5123	-1
5127	-1
5130	-1
5134	-1
5137	-1
5143	-1
5146	-1
5150	-1
5156	-1
5159	-1
5162	-1
5165	-1
5176	-1
5180	-1
5193	-1
5196	-1
5199	-1
5204	-1
5209	-1
5215	-1
5221	-1
5225	-1
5228	-1
5232	-1
5236	-1
5242	-1
5245	-1
5249	-1
5252	-1
5258	-1
5261	-1
5266	-1
5269	-1
5272	-1
5277	-1
5280	-1
5284	-1
5287	-1
5291	-1
5295	-1
5301	-1
5305	-1
5310	-1
5314	-1
5317	-1
5322	-1
5326	-1
5331	-1
5337	-1
5341	-1
5344	-1
5347	-1
5350	-1
5353	-1
5361	-1
5366	-1
5369	-1
5372	-1
5375	-1
5380	-1
5383	-1
5387	-1
5390	-1
5394	-1
5398	-1
5401	-1
5404	-1
5407	-1
5410	-1
5413	-1
5418	-1
5421	-1
5425	-1
5428	-1
5431	-1
5434	-1
5442	-1
5446	-1
5450	-1
5453	-1
5460	-1
5464	-1
5467	-1
5471	-1
5474	-1
5477	-1
5484	-1
5489	-1
5498	-1
5507	-1
5512	-1
5516	-1
5519	-1
5522	-1
5531	-1
5538	-1
5544	-1
5549	-1
5553	-1
5556	-1
5560	-1
5565	-1
5571	-1
5574	-1
5577	-1
5580	-1
5584	-1
5587	-1
5590	-1
5593	-1
5604	-1
